Sistematic name,Gene name,RA (mol/cell) [Nagalakshmi et al. 2008; Miura et al. 2008],RS (min) [Wang et al. 2002],TR indirect (mol/min) w/o dilution correction,TR (mol/min) w/o dilution correction,TR indirect (mol/min) dilution corrected,TR (mol/min) dilution corrected,RNA pol II density (per kb),RNA pol II  presence (per gene)
YDR362C,TFC6,1.0247,,,0.0787,,0.0923,0.0616,0.1242
YDR363W,ESC2,0.6084,,,,,,,
YDR363W-A,SEM1,7.1409,,,,,,,
YDR364C,CDC40,0.4803,,,,,,,
YDR365C,ESF1,11.5600,9,0.8903,,0.9612,,,
YDR366C,,,56,,0.0191,,0.0224,0.0149,0.0059
YDR367W,,4.7393,23,0.1428,0.0354,0.1719,0.0415,0.0277,0.0212
YDR368W,YPR1,2.1135,44,0.0333,,0.0463,,,
YDR369C,XRS2,0.8326,,,0.0361,,0.0424,0.0283,0.0725
YDR370C,,2.3376,,,,,,,
YDR371C-A,,,,,,,,,
YDR371W,CTS2,3.4904,23,0.1052,0.0756,0.1266,0.0887,0.0592,0.0908
YDR372C,VPS74,7.1729,,,0.1918,,0.2250,0.1500,0.1556
YDR373W,FRQ1,4.1949,22,0.1322,0.1177,0.1579,0.1380,0.0920,0.0526
YDR374C,,0.2562,,,,,,,
YDR374W-A,,1.8253,,,,,,,
YDR375C,BCS1,1.3769,,,0.0713,,0.0836,0.0558,0.0764
YDR376W,ARH1,0.8646,,,,,,,
YDR377W,ATP17,4.8353,17,0.1972,,0.2268,,,
YDR378C,LSM6,8.7420,,,0.1521,,0.1784,0.1189,0.0309
YDR379C-A,,,,,,,,,
YDR379W,RGA2,,20,,,,,,
YDR380W,ARO10,0.3843,,,,,,,
YDR381C-A,,2.1455,,,0.0923,,0.1083,0.0722,0.0388
YDR381W,YRA1,6.8847,,,,,,,
YDR382W,RPP2B,72.4339,24,2.0920,0.9583,2.5363,1.1242,0.7495,0.2488
YDR383C,NKP1,4.6752,,,0.0943,,0.1106,0.0737,0.0528
YDR384C,ATO3,1.7932,21,0.0592,0.0638,0.0702,0.0748,0.0499,0.0412
YDR385W,EFT2,,34,,0.2555,,0.2997,0.1998,0.5051
YDR386W,MUS81,0.8326,,,0.0576,,0.0676,0.0451,0.0855
YDR387C,,1.0887,28,0.0270,0.0584,0.0336,0.0685,0.0456,0.0761
YDR388W,RVS167,5.9881,51,0.0814,0.1794,0.1181,0.2104,0.1403,0.2031
YDR389W,SAC7,0.7045,,,0.1318,,0.1547,0.1031,0.2025
YDR390C,UBA2,4.8994,10,0.3396,0.0774,0.3697,0.0909,0.0606,0.1157
YDR391C,,2.1775,,,0.1442,,0.1692,0.1128,0.0787
YDR392W,SPT3,1.3449,,,0.1901,,0.2230,0.1487,0.1506
YDR393W,SHE9,1.1848,14,0.0587,,0.0659,,,
YDR394W,RPT3,6.9488,14,0.3440,0.2002,0.3867,0.2349,0.1566,0.2014
YDR395W,SXM1,2.8179,25,0.0781,0.1567,0.0954,0.1838,0.1226,0.3473
YDR396W,,,,,0.3012,,0.3534,0.2356,0.1178
YDR397C,NCB2,,,,0.5888,,0.6908,0.4605,0.2450
YDR398W,UTP5,2.3696,8,0.2053,0.2537,0.2198,0.2976,0.1984,0.3831
YDR399W,HPT1,9.9589,,,0.3622,,0.4250,0.2833,0.1884
YDR400W,URH1,1.1208,,,0.1129,,0.1325,0.0883,0.0903
YDR401W,,,95,,0.0178,,0.0209,0.0139,0.0078
YDR402C,DIT2,,,,,,,,
YDR403W,DIT1,0.1921,54,0.0025,,0.0036,,,
YDR404C,RPB7,3.7466,11,0.2361,,0.2591,,,
YDR405W,MRP20,1.6972,,,0.0879,,0.1031,0.0687,0.0544
YDR406W,PDR15,,37,,0.0352,,0.0413,0.0275,0.1263
YDR406W-A,,,,,,,,,
YDR407C,TRS120,,15,,0.0395,,0.0463,0.0309,0.1195
YDR408C,ADE8,3.9707,12,0.2294,0.2089,0.2537,0.2451,0.1634,0.1052
YDR409W,SIZ1,0.5124,32,0.0111,0.0662,0.0142,0.0777,0.0518,0.1405
YDR410C,STE14,2.0494,,,0.0931,,0.1092,0.0728,0.0524
YDR411C,DFM1,1.4730,16,0.0638,0.2604,0.0728,0.3055,0.2037,0.2088
YDR412W,,,,,0.1468,,0.1722,0.1148,0.0812
YDR413C,,,7,,0.0735,,0.0862,0.0575,0.0330
YDR414C,ERD1,2.1135,,,0.0763,,0.0895,0.0597,0.0649
YDR415C,,0.7045,14,0.0349,0.2052,0.0392,0.2407,0.1605,0.1804
YDR416W,SYF1,1.6011,,,0.1243,,0.1459,0.0972,0.2508
YDR417C,,,26,,0.4448,,0.5218,0.3479,0.1291
YDR418W,RPL12B,45.0550,23,1.3578,0.3230,1.6342,0.3789,0.2526,0.1255
YDR419W,RAD30,0.1281,,,0.0497,,0.0583,0.0389,0.0738
YDR420W,HKR1,0.5124,,,0.1217,,0.1428,0.0952,0.5147
YDR421W,ARO80,2.0494,26,0.0546,0.0738,0.0672,0.0866,0.0577,0.1646
YDR422C,SIP1,1.1528,19,0.0421,0.0944,0.0491,0.1107,0.0738,0.1806
YDR423C,CAD1,1.5691,12,0.0906,0.1526,0.1003,0.1790,0.1193,0.1466
YDR424C,DYN2,4.8033,,,0.1739,,0.2040,0.1360,0.0618
YDR425W,SNX41,,,,,,,,
YDR426C,,,,,,,,,
YDR427W,RPN9,,19,,0.1556,,0.1826,0.1217,0.1437
YDR428C,,,,,0.0715,,0.0839,0.0559,0.0439
YDR429C,TIF35,18.8290,8,1.6314,0.3692,1.7469,0.4332,0.2888,0.2380
YDR430C,CYM1,0.1921,31,0.0043,,0.0055,,,
YDR431W,,,,,,,,,
YDR432W,NPL3,,28,,0.2776,,0.3257,0.2171,0.2701
YDR433W,,,34,,0.5716,,0.6706,0.4471,0.1967
YDR434W,GPI17,5.5078,,,0.0435,,0.0510,0.0340,0.0545
YDR435C,PPM1,1.2489,21,0.0412,0.1040,0.0489,0.1221,0.0814,0.0802
YDR436W,PPZ2,0.4163,,,0.0852,,0.0999,0.0666,0.1421
YDR437W,GPI19,0.4483,,,0.1381,,0.1620,0.1080,0.0456
YDR438W,,0.2562,,,0.1168,,0.1370,0.0913,0.1015
YDR439W,LRS4,0.5124,,,0.1146,,0.1345,0.0897,0.0935
YDR440W,DOT1,0.7685,10,0.0533,0.0578,0.0580,0.0678,0.0452,0.0790
YDR441C,APT2,1.0567,8,0.0916,0.2678,0.0980,0.3142,0.2095,0.1142
YDR442W,,,,,0.1199,,0.1407,0.0938,0.0368
YDR443C,SSN2,,15,,,,,,
YDR444W,,,,,0.1017,,0.1193,0.0795,0.1641
YDR445C,,,46,,,,,,
YDR446W,ECM11,2.2415,,,,,,,
YDR447C,RPS17B,107.9143,28,2.6714,0.3762,3.3334,0.4413,0.2942,0.2130
YDR448W,ADA2,0.4483,14,0.0222,0.1759,0.0249,0.2063,0.1376,0.1794
YDR449C,UTP6,1.5691,5,0.2175,,0.2271,,,
YDR450W,RPS18A,80.3753,22,2.5324,0.2434,3.0254,0.2856,0.1904,0.1666
YDR451C,YHP1,0.7045,9,0.0543,0.3426,0.0586,0.4019,0.2680,0.2843
YDR452W,PPN1,4.4190,12,0.2553,0.0810,0.2824,0.0950,0.0633,0.1282
YDR453C,TSA2,1.4410,37,0.0270,,0.0358,,,
YDR454C,GUK1,12.3605,,,,,,,
YDR455C,,0.0640,23,0.0019,0.1247,0.0023,0.1463,0.0975,0.0300
YDR456W,NHX1,1.0887,12,0.0629,,0.0696,,,
YDR457W,TOM1,2.5938,,,0.0694,,0.0814,0.0543,0.5322
YDR458C,,1.1528,17,0.0470,0.1012,0.0541,0.1187,0.0791,0.1575
YDR459C,PFA5,0.8006,26,0.0213,0.1168,0.0263,0.1370,0.0913,0.1027
YDR460W,TFB3,0.5444,14,0.0270,0.1406,0.0303,0.1650,0.1100,0.1061
YDR461C-A,,1.6972,,,,,,,
YDR461W,MFA1,27.2187,,,,,,,
YDR462W,MRPL28,2.2415,23,0.0676,0.1578,0.0813,0.1851,0.1234,0.0547
YDR463W,STP1,2.8500,7,0.2822,0.1085,0.2997,0.1273,0.0849,0.1323
YDR464C-A,,,,,,,,,
YDR464W,SPP41,0.5444,,,,,,,
YDR465C,RMT2,7.3010,12,0.4217,,0.4665,,,
YDR466W,PKH3,,,,,,,,
YDR467C,,,29,,,,,,
YDR468C,TLG1,3.8106,19,0.1390,0.1597,0.1624,0.1874,0.1249,0.0842
YDR469W,SDC1,1.1208,,,0.0935,,0.1097,0.0731,0.0385
YDR470C,UGO1,0.2562,,,0.0454,,0.0532,0.0355,0.0535
YDR471W,RPL27B,59.4649,16,2.5761,0.5363,2.9409,0.6291,0.4194,0.3330
YDR472W,TRS31,0.9607,34,0.0196,,0.0255,,,
YDR473C,PRP3,1.4090,,,0.0962,,0.1128,0.0752,0.1060
YDR475C,,1.3769,,,0.2115,,0.2481,0.1654,0.4350
YDR476C,,2.0814,14,0.1031,0.2065,0.1158,0.2422,0.1615,0.1088
YDR477W,SNF1,2.1135,18,0.0814,0.1160,0.0943,0.1360,0.0907,0.1724
YDR478W,SNM1,,17,,0.0827,,0.0970,0.0647,0.0385
YDR479C,PEX29,,44,,0.1030,,0.1209,0.0806,0.1341
YDR480W,DIG2,1.1208,15,0.0518,0.0691,0.0587,0.0811,0.0540,0.0525
YDR481C,PHO8,4.0668,20,0.1409,0.2998,0.1659,0.3517,0.2344,0.3986
YDR482C,CWC21,1.8253,13,0.0973,0.2239,0.1085,0.2627,0.1751,0.0713
YDR483W,KRE2,3.9387,31,0.0881,0.1025,0.1122,0.1202,0.0801,0.1064
YDR484W,VPS52,0.5444,,,0.0589,,0.0691,0.0461,0.0887
YDR485C,VPS72,0.3843,,,0.1298,,0.1522,0.1015,0.2422
YDR486C,VPS60,1.4730,18,0.0567,0.1035,0.0658,0.1215,0.0810,0.0558
YDR487C,RIB3,8.7740,17,0.3577,0.2551,0.4116,0.2992,0.1995,0.1249
YDR488C,PAC11,0.5444,12,0.0314,0.1618,0.0348,0.1898,0.1266,0.2026
YDR489W,SLD5,,12,,0.0610,,0.0716,0.0477,0.0422
YDR490C,PKH1,,,,0.0554,,0.0650,0.0433,0.0996
YDR491C,,0.0640,13,0.0034,0.0901,0.0038,0.1057,0.0705,0.0346
YDR492W,IZH1,0.9607,,,0.1075,,0.1261,0.0841,0.0798
YDR493W,,1.7612,17,0.0718,0.1587,0.0826,0.1862,0.1241,0.0461
YDR494W,RSM28,,7,,0.1085,,0.1272,0.0848,0.0920
YDR495C,VPS3,,,,,,,,
YDR496C,PUF6,0.9927,6,0.1147,0.1961,0.1208,0.2300,0.1533,0.3021
YDR497C,ITR1,6.8527,,,0.1362,,0.1598,0.1065,0.1868
YDR498C,SEC20,1.2168,10,0.0843,0.1170,0.0918,0.1373,0.0915,0.1054
YDR499W,LCD1,0.9607,,,0.0487,,0.0571,0.0381,0.0854
YDR500C,RPL37B,38.1062,22,1.2006,0.5911,1.4343,0.6935,0.4623,0.3028
YDR501W,PLM2,0.1921,,,0.0451,,0.0529,0.0352,0.0551
YDR502C,SAM2,10.7594,16,0.4661,0.0913,0.5321,0.1072,0.0714,0.0824
YDR503C,LPP1,0.3202,,,,,,,
YDR504C,SPG3,1.4090,51,0.0191,,0.0278,,,
YDR505C,PSP1,,,,0.0554,,0.0650,0.0433,0.1094
YDR506C,,0.3522,,,0.0772,,0.0905,0.0604,0.1102
YDR507C,GIN4,0.8326,,,0.1480,,0.1736,0.1157,0.3968
YDR508C,GNP1,2.9781,,,0.1603,,0.1881,0.1254,0.2496
YDR509W,,0.1921,,,0.3179,,0.3729,0.2486,0.0863
YDR510C-A,,,,,,,,,
YDR510W,SMT3,,19,,,,,,
YDR511W,ACN9,,33,,0.1461,,0.1714,0.1143,0.0458
YDR512C,EMI1,,20,,0.0682,,0.0800,0.0533,0.0300
YDR513W,GRX2,,71,,,,,,
YDR514C,,,22,,0.1042,,0.1222,0.0815,0.1182
YDR515W,SLF1,0.7045,,,0.0502,,0.0589,0.0393,0.0527
YDR516C,EMI2,5.5078,,,0.1332,,0.1563,0.1042,0.1565
YDR517W,GRH1,4.1629,25,0.1154,0.1724,0.1410,0.2023,0.1348,0.1508
YDR518W,EUG1,3.7466,,,0.0366,,0.0429,0.0286,0.0444
YDR519W,FPR2,4.5151,23,0.1361,0.1028,0.1638,0.1206,0.0804,0.0327
YDR520C,,1.1208,,,0.0590,,0.0692,0.0462,0.1070
YDR521W,,,,,0.0616,,0.0723,0.0482,0.0161
YDR522C,SPS2,0.0320,24,0.0009,0.1150,0.0011,0.1349,0.0899,0.1356
YDR523C,SPS1,0.0640,,,0.0190,,0.0223,0.0149,0.0219
YDR524C,AGE1,0.6725,,,0.0598,,0.0701,0.0468,0.0677
YDR524C-A,,,,,,,,,
YDR524C-B,,102.3425,,,,,,,
YDR524W-C,,149.9272,,,,,,,
YDR525W,API2,0.0640,66,0.0007,,0.0011,,,
YDR525W-A,SNA2,4.2269,,,,,,,
YDR526C,,,14,,0.1598,,0.1875,0.1250,0.0588
YDR527W,RBA50,1.6331,,,0.0817,,0.0959,0.0639,0.0843
YDR528W,HLR1,0.8966,14,0.0444,0.0472,0.0499,0.0554,0.0369,0.0469
YDR529C,QCR7,6.4364,28,0.1593,0.0968,0.1988,0.1135,0.0757,0.0290
YDR530C,APA2,2.0814,36,0.0401,0.0737,0.0528,0.0865,0.0576,0.0563
YDR531W,,,,,0.1401,,0.1644,0.1096,0.1209
YDR532C,,,29,,0.1222,,0.1434,0.0956,0.1106
YDR533C,HSP31,1.6011,62,0.0179,0.0535,0.0277,0.0627,0.0418,0.0298
YDR534C,FIT1,0.0320,26,0.0009,0.0198,0.0011,0.0232,0.0155,0.0245
YDR535C,,0.1921,,,,,,,
YDR536W,STL1,0.2882,26,0.0077,0.0353,0.0095,0.0414,0.0276,0.0471
YDR537C,,,,,,,,,
YDR538W,PAD1,0.7685,,,,,,,
YDR539W,,0.9927,16,0.0430,0.0545,0.0491,0.0639,0.0426,0.0644
YDR540C,,0.5124,,,0.0459,,0.0538,0.0359,0.0193
YDR541C,,1.6331,,,0.0867,,0.1017,0.0678,0.0701
YDR542W,,,10,,,,,,
YDR543C,,,,,,,,,
YDR544C,,,10,,,,,,
YDR545C-A,,,,,,,,,
YDR545W,YRF1-1,,,,,,,,
YEL001C,,2.7219,25,0.0755,0.0736,0.0922,0.0863,0.0575,0.0390
YEL002C,WBP1,6.5005,29,0.1554,0.1013,0.1952,0.1189,0.0793,0.1024
YEL003W,GIM4,3.5544,17,0.1449,0.1302,0.1667,0.1527,0.1018,0.0431
YEL004W,YEA4,0.7365,51,0.0100,,0.0145,,,
YEL005C,VAB2,0.9607,41,0.0162,0.0427,0.0221,0.0501,0.0334,0.0283
YEL006W,YEA6,1.1208,51,0.0152,,0.0221,,,
YEL007W,,2.1135,20,0.0732,,0.0862,,,
YEL008C-A,,,,,,,,,
YEL008W,,,,,0.1052,,0.1234,0.0823,0.0313
YEL009C,GCN4,25.6497,19,0.9357,1.1619,1.0931,1.3631,0.9087,0.7679
YEL009C-A,,,,,0.0177,,0.0207,0.0138,0.0056
YEL010W,,,70,,,,,,
YEL011W,GLC3,4.6432,,,,,,,
YEL012W,UBC8,1.4410,34,0.0294,0.0683,0.0382,0.0801,0.0534,0.0416
YEL013W,VAC8,1.0247,36,0.0197,0.1535,0.0260,0.1801,0.1201,0.2085
YEL014C,,,38,,0.2210,,0.2593,0.1728,0.0527
YEL015W,EDC3,,14,,0.1232,,0.1446,0.0964,0.1595
YEL016C,NPP2,,21,,0.0545,,0.0640,0.0427,0.0632
YEL017C-A,PMP2,,29,,,,,,
YEL017W,GTT3,,17,,0.0618,,0.0724,0.0483,0.0489
YEL018C-A,,,,,,,,,
YEL018W,EAF5,1.4410,22,0.0454,0.1806,0.0542,0.2119,0.1412,0.1185
YEL019C,MMS21,0.1281,40,0.0022,0.0328,0.0030,0.0385,0.0257,0.0206
YEL020C,,0.3522,32,0.0076,0.1053,0.0098,0.1235,0.0823,0.1385
YEL020C-B,,,,,,,,,
YEL020W-A,TIM9,,,,,,,,
YEL021W,URA3,0.0640,32,0.0014,,0.0018,,,
YEL022W,GEA2,1.9854,,,,,,,
YEL023C,,0.1281,,,0.0374,,0.0439,0.0293,0.0599
YEL024W,RIP1,3.3623,15,0.1554,0.0388,0.1760,0.0455,0.0303,0.0196
YEL025C,,2.1135,19,0.0771,0.0777,0.0901,0.0912,0.0608,0.2168
YEL026W,SNU13,25.9058,16,1.1223,,1.2812,,,
YEL027W,CUP5,31.0294,25,0.8603,0.0747,1.0507,0.0877,0.0585,0.0282
YEL028W,,0.6084,36,0.0117,0.0908,0.0154,0.1066,0.0710,0.0328
YEL029C,BUD16,3.2342,27,0.0830,0.0547,0.1029,0.0642,0.0428,0.0401
YEL030C-A,,,,,0.0667,,0.0783,0.0522,0.0164
YEL030W,ECM10,0.7045,249,0.0020,0.0387,0.0063,0.0454,0.0303,0.0586
YEL031W,SPF1,1.9533,,,,,,,
YEL032C-A,,,,,,,,,
YEL032W,MCM3,0.7685,7,0.0761,0.1475,0.0808,0.1730,0.1153,0.3362
YEL033W,,,33,,0.1719,,0.2017,0.1345,0.0563
YEL034C-A,,,,,0.2698,,0.3166,0.2110,0.1270
YEL034W,HYP2,,18,,0.3347,,0.3927,0.2618,0.1238
YEL035C,UTR5,0.0640,50,0.0009,0.4221,0.0013,0.4952,0.3301,0.1651
YEL036C,ANP1,2.2415,13,0.1195,,0.1333,,,
YEL037C,RAD23,5.7319,10,0.3973,,0.4325,,,
YEL038W,UTR4,6.5325,26,0.1742,0.0714,0.2142,0.0838,0.0559,0.0382
YEL039C,CYC7,6.3404,,,0.0269,,0.0316,0.0211,0.0072
YEL040W,UTR2,38.0422,9,2.9299,0.5145,3.1632,0.6036,0.4024,0.5646
YEL041W,YEF1,0.0320,43,0.0005,,0.0007,,,
YEL042W,GDA1,3.8747,11,0.2442,0.0989,0.2679,0.1160,0.0773,0.1203
YEL043W,,2.0174,20,0.0699,,0.0823,,,
YEL044W,IES6,2.3056,14,0.1142,0.1952,0.1283,0.2290,0.1527,0.0763
YEL045C,,,17,,0.0451,,0.0529,0.0352,0.0150
YEL046C,GLY1,13.6414,9,1.0506,1.0244,1.1343,1.2018,0.8012,0.9318
YEL047C,,1.7932,,,0.1546,,0.1814,0.1209,0.1708
YEL048C,,0.5124,21,0.0169,,0.0201,,,
YEL049W,PAU2,,,,0.0167,,0.0196,0.0130,0.0047
YEL050C,RML2,,19,,,,,,
YEL050W-A,,,,,,,,,
YEL051W,VMA8,18.1245,19,0.6612,0.1956,0.7724,0.2294,0.1529,0.1178
YEL052W,AFG1,1.9533,20,0.0677,,0.0797,,,
YEL053C,MAK10,1.1528,15,0.0533,0.0526,0.0603,0.0618,0.0412,0.0906
YEL053W-A,,,,,,,,,
YEL054C,RPL12A,19.9818,22,0.6296,,0.7521,,,
YEL055C,POL5,,35,,0.0586,,0.0688,0.0458,0.1407
YEL056W,HAT2,,24,,,,,,
YEL057C,,,96,,0.0327,,0.0384,0.0256,0.0179
YEL058W,PCM1,,33,,0.2444,,0.2867,0.1911,0.3198
YEL059C-A,SOM1,1.4090,25,0.0391,,0.0477,,,
YEL059W,,0.0640,27,0.0016,0.0226,0.0020,0.0266,0.0177,0.0055
YEL060C,PRB1,7.8774,,,,,,,
YEL061C,CIN8,0.5124,20,0.0178,0.0808,0.0209,0.0948,0.0632,0.1897
YEL062W,NPR2,0.4483,,,0.0908,,0.1065,0.0710,0.1312
YEL063C,CAN1,0.8966,,,0.1740,,0.2042,0.1361,0.2412
YEL064C,AVT2,0.1921,,,0.0401,,0.0471,0.0314,0.0452
YEL065W,SIT1,1.6011,13,0.0854,,0.0952,,,
YEL066W,HPA3,0.6084,,,0.0529,,0.0620,0.0413,0.0223
YEL067C,,0.0640,30,0.0015,0.0225,0.0019,0.0264,0.0176,0.0103
YEL068C,,1.1208,37,0.0210,,0.0279,,,
YEL069C,HXT13,,,,,,,,
YEL070W,DSF1,,41,,0.0057,,0.0067,0.0045,0.0067
YEL071W,DLD3,12.2004,38,0.2225,0.3895,0.2974,0.4569,0.3046,0.4538
YEL072W,RMD6,1.0567,76,0.0096,0.0332,0.0161,0.0390,0.0260,0.0181
YEL073C,,0.0640,,,,,,,
YEL074W,,0.0640,14,0.0032,,0.0036,,,
YEL075C,,,,,,,,,
YEL075W-A,,,,,,,,,
YEL076C,,,5,,,,,,
YEL076C-A,,,,,,,,,
YEL077C,,,6,,0.1089,,0.1277,0.0851,0.3263
YEL077W-A,,,,,,,,,
YER001W,MNN1,3.8426,48,0.0555,,0.0791,,,
YER002W,NOP16,6.6286,,,0.2783,,0.3265,0.2177,0.1513
YER003C,PMI40,2.7219,33,0.0572,0.0838,0.0739,0.0983,0.0655,0.0906
YER004W,,4.3870,38,0.0800,0.2059,0.1069,0.2415,0.1610,0.1119
YER005W,YND1,1.0247,68,0.0104,0.1185,0.0167,0.1391,0.0927,0.1754
YER006C-A,,,,,,,,,
YER006W,NUG1,,10,,0.2086,,0.2448,0.1632,0.2549
YER007C-A,TMA20,5.0595,19,0.1846,0.0892,0.2156,0.1046,0.0697,0.0452
YER007W,PAC2,3.6505,,,0.0464,,0.0545,0.0363,0.0565
YER008C,SEC3,1.4730,46,0.0222,0.0885,0.0312,0.1038,0.0692,0.2775
YER009W,NTF2,19.8857,,,0.1254,,0.1471,0.0980,0.0370
YER010C,,9.4145,,,0.0554,,0.0649,0.0433,0.0305
YER011W,TIR1,2.2736,49,0.0322,,0.0461,,,
YER012W,PRE1,2.9140,14,0.1443,0.1540,0.1621,0.1807,0.1205,0.0718
YER013W,PRP22,0.3522,,,0.0552,,0.0648,0.0432,0.1484
YER014C-A,BUD25,,,,,,,,
YER014W,HEM14,,,,,,,,
YER015W,FAA2,0.6404,,,0.0233,,0.0273,0.0182,0.0406
YER016W,BIM1,1.2168,10,0.0843,,0.0918,,,
YER017C,AFG3,0.9607,10,0.0666,0.1135,0.0725,0.1331,0.0887,0.2028
YER018C,SPC25,0.5124,16,0.0222,0.3631,0.0253,0.4260,0.2840,0.1889
YER019C-A,SBH2,,14,,,,,,
YER019W,ISC1,,,,0.1267,,0.1486,0.0991,0.1420
YER020W,GPA2,2.1455,21,0.0708,,0.0840,,,
YER021W,RPN3,5.6039,18,0.2158,0.2189,0.2502,0.2568,0.1712,0.2690
YER022W,SRB4,1.8573,23,0.0560,0.0781,0.0674,0.0916,0.0610,0.1259
YER023C-A,,,,,,,,,
YER023W,PRO3,7.2370,40,0.1254,,0.1698,,,
YER024W,YAT2,0.2562,19,0.0093,0.0827,0.0109,0.0970,0.0647,0.1792
YER025W,GCD11,4.5792,8,0.3968,0.2122,0.4248,0.2489,0.1659,0.2627
YER026C,CHO1,2.8179,13,0.1502,0.0977,0.1675,0.1146,0.0764,0.0634
YER027C,GAL83,5.2836,18,0.2035,0.0977,0.2359,0.1146,0.0764,0.0957
YER028C,MIG3,1.5371,,,0.0490,,0.0575,0.0383,0.0454
YER029C,SMB1,1.3129,,,0.1393,,0.1634,0.1089,0.0643
YER030W,,8.2617,21,0.2727,0.1828,0.3234,0.2145,0.1430,0.0659
YER031C,YPT31,10.6954,,,0.1097,,0.1287,0.0858,0.0576
YER032W,FIR1,0.6084,16,0.0264,0.0489,0.0301,0.0574,0.0382,0.1006
YER033C,ZRG8,0.2562,,,,,,,
YER034W,,0.7685,26,0.0205,0.1168,0.0252,0.1370,0.0914,0.0509
YER035W,EDC2,1.7612,18,0.0678,1.1496,0.0786,1.3487,0.8991,0.3929
YER036C,ARB1,12.5206,14,0.6199,0.5291,0.6967,0.6207,0.4138,0.7581
YER037W,PHM8,,49,,0.0948,,0.1112,0.0742,0.0716
YER038C,KRE29,,35,,0.0321,,0.0377,0.0251,0.0350
YER038W-A,,,,,,,,,
YER039C,HVG1,,16,,0.0871,,0.1022,0.0682,0.0511
YER039C-A,,,,,0.0534,,0.0627,0.0418,0.0091
YER040W,GLN3,0.3202,16,0.0139,0.0588,0.0158,0.0690,0.0460,0.1008
YER041W,YEN1,0.5444,,,,,,,
YER042W,MXR1,5.3477,33,0.1123,0.0437,0.1451,0.0513,0.0342,0.0190
YER043C,SAH1,5.6679,35,0.1122,0.3066,0.1470,0.3597,0.2398,0.3235
YER044C,ERG28,5.6999,,,0.0968,,0.1136,0.0757,0.0338
YER044C-A,MEI4,0.0320,,,,,,,
YER045C,ACA1,0.9607,25,0.0266,,0.0325,,,
YER046W,SPO73,,31,,0.0796,,0.0934,0.0623,0.0268
YER046W-A,,,,,,,,,
YER047C,SAP1,,12,,0.0937,,0.1099,0.0733,0.1973
YER048C,CAJ1,12.2004,15,0.5638,0.1596,0.6386,0.1872,0.1248,0.1467
YER048W-A,ISD11,2.6899,,,,,,,
YER049W,,3.0421,14,0.1506,0.2496,0.1693,0.2929,0.1952,0.3776
YER050C,RSM18,5.6039,16,0.2428,0.1219,0.2771,0.1430,0.0953,0.0396
YER051W,,0.8646,16,0.0375,0.0430,0.0428,0.0504,0.0336,0.0497
YER052C,HOM3,7.0769,,,0.1701,,0.1995,0.1330,0.2106
YER053C,PIC2,8.0055,,,0.0761,,0.0893,0.0596,0.0537
YER053C-A,,1.5691,,,,,,,
YER054C,GIP2,0.8966,,,,,,,
YER055C,HIS1,15.6588,9,1.2060,0.2016,1.3020,0.2365,0.1577,0.1408
YER056C,FCY2,11.2718,20,0.3906,,0.4598,,,
YER056C-A,RPL34A,33.4310,25,0.9269,0.4755,1.1320,0.5578,0.3719,0.2834
YER057C,HMF1,7.1089,55,0.0896,0.0970,0.1332,0.1138,0.0759,0.0295
YER058W,PET117,1.1848,,,0.1119,,0.1312,0.0875,0.0283
YER059W,PCL6,2.2415,18,0.0863,0.0717,0.1001,0.0841,0.0561,0.0708
YER060W,FCY21,1.1528,,,0.0926,,0.1086,0.0724,0.1148
YER060W-A,FCY22,0.8326,28,0.0206,0.0478,0.0257,0.0560,0.0373,0.0595
YER061C,CEM1,1.7932,21,0.0592,0.0541,0.0702,0.0635,0.0423,0.0562
YER062C,HOR2,22.1272,18,0.8521,,0.9878,,,
YER063W,THO1,1.7932,17,0.0731,0.1077,0.0841,0.1263,0.0842,0.0553
YER064C,,1.7612,21,0.0581,0.1382,0.0689,0.1622,0.1081,0.1640
YER065C,ICL1,0.4483,,,0.0820,,0.0961,0.0641,0.1072
YER066C-A,,0.0640,,,,,,,
YER066W,,0.4803,37,0.0090,0.0665,0.0119,0.0780,0.0520,0.0290
YER067C-A,,,,,,,,,
YER067W,,,,,0.0681,,0.0799,0.0533,0.0258
YER068C-A,,0.0640,,,,,,,
YER068W,MOT2,2.0174,20,0.0699,0.1663,0.0823,0.1951,0.1300,0.2293
YER069W,"ARG5,6",0.5444,14,0.0270,0.0653,0.0303,0.0766,0.0511,0.1323
YER070W,RNR1,2.9781,7,0.2949,0.4535,0.3132,0.5321,0.3547,0.9456
YER071C,,3.1702,36,0.0610,,0.0805,,,
YER072W,VTC1,74.3232,,,0.1740,,0.2041,0.1361,0.0529
YER073W,ALD5,6.0201,,,0.1914,,0.2245,0.1497,0.2338
YER074W,RPS24A,52.3240,16,2.2668,,2.5877,,,
YER074W-A,YOS1,12.2324,,,0.0539,,0.0632,0.0422,0.0198
YER075C,PTP3,0.1921,21,0.0063,,0.0075,,,
YER076C,,0.0640,42,0.0011,0.0469,0.0014,0.0550,0.0367,0.0333
YER076W-A,,0.3202,,,0.0420,,0.0493,0.0329,0.0114
YER077C,,0.9927,24,0.0287,0.0821,0.0348,0.0963,0.0642,0.1326
YER078C,,1.0567,27,0.0271,,0.0336,,,
YER078W-A,,0.0640,,,,,,,
YER079C-A,,,,,0.0477,,0.0560,0.0373,0.0126
